"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name"
"2026-03-01","narouz-makar","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-03-01","cilantrosoftware","copilot","copilot_premium_request","Code Review model","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-03-01","","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0","0.04","True","0","Experity",""
"2026-03-01","kjm0001","copilot","copilot_premium_request","GPT-5.3-Codex","91","requests","0.04","3.6400000000000023","3.6400000000000023","0","False","300","Experity",""
"2026-03-02","ssimonson","copilot","copilot_premium_request","Claude Haiku 4.5","0.66","requests","0.04","0.0264","0.0264","0","False","300","Experity",""
"2026-03-02","kennytran95","copilot","copilot_premium_request","Claude Haiku 4.5","1.32","requests","0.04","0.0528","0.0528","0","False","300","Experity",""
"2026-03-02","aswinkulath93","copilot","copilot_premium_request","Claude Opus 4.6","27","requests","0.04","1.08","1.08","0","False","300","Experity",""
"2026-03-02","twilson-eh","copilot","copilot_premium_request","Claude Opus 4.6","6","requests","0.04","0.24","0.24","0","False","300","Experity",""
"2026-03-02","nkaur24","copilot","copilot_premium_request","Claude Opus 4.6","42","requests","0.04","1.6800000000000006","1.6800000000000006","0","False","300","Experity",""
"2026-03-02","iblatter-experity","copilot","copilot_premium_request","Claude Opus 4.6","21","requests","0.04","0.84","0.84","0","False","300","Experity",""
"2026-03-02","JoshMalan1","copilot","copilot_premium_request","Claude Opus 4.6","117","requests","0.04","4.680000000000003","4.680000000000003","0","False","300","Experity",""
"2026-03-02","mikepedz","copilot","copilot_premium_request","Claude Opus 4.6","9","requests","0.04","0.36","0.36","0","False","300","Experity",""
"2026-03-02","sam-harris-experity","copilot","copilot_premium_request","Claude Sonnet 4","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-03-02","narouz-makar","copilot","copilot_premium_request","Claude Sonnet 4.5","22","requests","0.04","0.8800000000000002","0.8800000000000002","0","False","300","Experity",""
"2026-03-02","AldoMX","copilot","copilot_premium_request","Claude Sonnet 4.5","24","requests","0.04","0.9600000000000003","0.9600000000000003","0","False","300","Experity",""
"2026-03-02","mikepedz","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","300","Experity",""
"2026-03-02","sam-harris-experity","copilot","copilot_premium_request","Claude Sonnet 4.5","34","requests","0.04","1.3600000000000005","1.3600000000000005","0","False","300","Experity",""
"2026-03-02","kennytran95","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-03-02","leima2010","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","300","onepackius",""
"2026-03-02","PhreighnQ","copilot","copilot_premium_request","Claude Sonnet 4.5","13","requests","0.04","0.5199999999999999","0.5199999999999999","0","False","300","Experity",""
"2026-03-02","Levoni","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-03-02","Ayushojha1110","copilot","copilot_premium_request","Claude Sonnet 4.5","5","requests","0.04","0.2","0.2","0","False","300","Experity",""
"2026-03-02","nkaur24","copilot","copilot_premium_request","Claude Sonnet 4.6","42","requests","0.04","1.6800000000000008","1.6800000000000008","0","False","300","Experity",""
"2026-03-02","hdaum","copilot","copilot_premium_request","Claude Sonnet 4.6","12","requests","0.04","0.4799999999999999","0.4799999999999999","0","False","300","Experity",""
"2026-03-02","tcrane20","copilot","copilot_premium_request","Claude Sonnet 4.6","10","requests","0.04","0.39999999999999997","0.39999999999999997","0","False","300","Experity",""
"2026-03-02","MariiSanchez","copilot","copilot_premium_request","Claude Sonnet 4.6","11","requests","0.04","0.43999999999999995","0.43999999999999995","0","False","300","Experity",""
"2026-03-02","bkent412","copilot","copilot_premium_request","Claude Sonnet 4.6","14","requests","0.04","0.5599999999999999","0.5599999999999999","0","False","300","Experity",""
"2026-03-02","jfeathers13","copilot","copilot_premium_request","Claude Sonnet 4.6","18","requests","0.04","0.7200000000000001","0.7200000000000001","0","False","300","Experity",""
"2026-03-02","twilson-eh","copilot","copilot_premium_request","Claude Sonnet 4.6","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-03-02","kennytran95","copilot","copilot_premium_request","Claude Sonnet 4.6","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-03-02","jmunsch","copilot","copilot_premium_request","Claude Sonnet 4.6","11","requests","0.04","0.43999999999999995","0.43999999999999995","0","False","300","Experity",""
"2026-03-02","adamkenvin","copilot","copilot_premium_request","Claude Sonnet 4.6","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-03-02","dkarl","copilot","copilot_premium_request","Claude Sonnet 4.6","3","requests","0.04","0.12","0.12","0","False","300","Experity",""
"2026-03-02","cloneluke","copilot","copilot_premium_request","Claude Sonnet 4.6","16","requests","0.04","0.64","0.64","0","False","300","Experity",""
"2026-03-02","tleibovich","copilot","copilot_premium_request","Claude Sonnet 4.6","3","requests","0.04","0.12","0.12","0","False","300","Experity",""
"2026-03-02","zacharypollard","copilot","copilot_premium_request","Claude Sonnet 4.6","33","requests","0.04","1.3200000000000005","1.3200000000000005","0","False","300","Experity",""
"2026-03-02","cmonterroso-exp","copilot","copilot_premium_request","Claude Sonnet 4.6","13","requests","0.04","0.5199999999999999","0.5199999999999999","0","False","300","onepackius",""
"2026-03-02","iblatter-experity","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
